i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
45875,Specifically,OK,Specifically,"[34.136532, 101.698291, 209.584906]",34.136532,,,"[0.9509090909091017, 0.9134545454545552, 0.9174545454545553]",0.9509090909091017,strong_verified,,,sup-simcse-roberta-base
46386,][,OK,][,"[35.117468, 118.627889, 290.108334]",35.117468,,,"[0.9640000000000112, 0.9625454545454657, 0.9509090909091017]",0.9640000000000112,strong_verified,,,sup-simcse-roberta-base
47426,_.,OK,_.,"[32.571599, 86.248715, 199.610122]",32.571599,,,"[0.956000000000011, 0.9178181818181916, 0.9105454545454642]",0.956000000000011,strong_verified,,,sup-simcse-roberta-base
48021,âĢ¦],OK,…],"[34.230541, 65.503546, 169.13909]",34.230541,,,"[0.9520000000000108, 0.9112727272727369, 0.9098181818181914]",0.9520000000000108,strong_verified,,,sup-simcse-roberta-base
48992,[],OK,[],"[36.29367, 118.328762, 267.935184]",36.29367,,,"[0.9818181818181935, 0.9367272727272831, 0.9374545454545559]",0.9818181818181935,strong_verified,,,sup-simcse-roberta-base
49011,Ġtion,OK, tion,"[36.498897, 31.843435, 132.799257]",36.498897,,,"[0.9578181818181928, 0.8803636363636451, 0.8767272727272813]",0.9578181818181928,strong_verified,,,sup-simcse-roberta-base
49915,=],OK,=],"[30.076977, 120.777482, 248.130044]",30.076977,,,"[0.9600000000000111, 0.8865454545454635, 0.8876363636363727]",0.9600000000000111,strong_verified,,,sup-simcse-roberta-base
2087,Ġsubject,OK, subject,"[35.150507, 185.04348, 462.69356]",35.150507,,,"[0.9196363636363735, 0.9429090909091015, 0.9189090909091008]",0.9429090909091015,strong_verified,,,sup-simcse-roberta-large
3358,.-,OK,.-,"[44.956064, 268.209034, 452.599968]",44.956064,,,"[0.9000000000000093, 0.9472727272727379, 0.9465454545454652]",0.9472727272727379,strong_verified,,,sup-simcse-roberta-large
5056,Ġreferring,OK, referring,"[35.342542, 105.434103, 286.190923]",35.342542,,,"[0.9087272727272823, 0.9403636363636468, 0.9138181818181915]",0.9403636363636468,strong_verified,,,sup-simcse-roberta-large
7061,Source,OK,Source,"[36.102037, 286.827954, 574.333057]",36.102037,,,"[0.8909090909091, 0.9309090909091011, 0.9210909090909191]",0.9309090909091011,strong_verified,,,sup-simcse-roberta-large
7181,Ġcommented,OK, commented,"[35.243767, 158.104244, 316.700404]",35.243767,,,"[0.8912727272727363, 0.9287272727272828, 0.9058181818181913]",0.9287272727272828,strong_verified,,,sup-simcse-roberta-large
